Datetime,Open,High,Low,Close,Volume
2025-12-01 14:30:00+00:00,487.9599914550781,488.7591857910156,486.1000061035156,487.8971862792969,1359169
2025-12-01 14:35:00+00:00,487.8349914550781,487.8349914550781,486.2200012207031,486.2200012207031,391280
2025-12-01 14:40:00+00:00,486.20001220703125,486.3599853515625,484.6474914550781,485.7300109863281,358829
2025-12-01 14:45:00+00:00,485.7799987792969,487.7799987792969,485.6759033203125,486.7200012207031,257452
2025-12-01 14:50:00+00:00,486.67999267578125,487.95001220703125,486.6449890136719,487.4649963378906,183102
2025-12-01 14:55:00+00:00,487.4800109863281,488.42999267578125,487.3299865722656,487.9599914550781,205420
2025-12-01 15:00:00+00:00,487.8999938964844,488.44000244140625,487.44000244140625,487.5736999511719,153454
2025-12-01 15:05:00+00:00,487.6099853515625,487.8999938964844,486.92999267578125,487.1000061035156,154845
2025-12-01 15:10:00+00:00,487.0899963378906,487.9017028808594,486.95001220703125,487.3599853515625,119076
2025-12-01 15:15:00+00:00,487.3999938964844,487.8349914550781,486.9901123046875,487.7300109863281,97012
2025-12-01 15:20:00+00:00,487.69000244140625,487.7699890136719,486.8999938964844,487.56500244140625,116818
2025-12-01 15:25:00+00:00,487.56500244140625,487.57000732421875,486.6300048828125,486.79998779296875,135904
2025-12-01 15:30:00+00:00,486.7900085449219,486.7900085449219,485.9750061035156,486.1000061035156,128140
2025-12-01 15:35:00+00:00,486.0799865722656,486.69000244140625,485.7001037597656,486.3200988769531,168810
2025-12-01 15:40:00+00:00,486.2539978027344,486.9800109863281,486.25,486.80999755859375,118026
2025-12-01 15:45:00+00:00,486.7900085449219,487.1099853515625,486.42999267578125,486.9100036621094,116657
2025-12-01 15:50:00+00:00,486.9599914550781,488.5199890136719,486.9200134277344,488.5050048828125,96689
2025-12-01 15:55:00+00:00,488.4700012207031,488.72821044921875,488.260009765625,488.55999755859375,102845
2025-12-01 16:00:00+00:00,488.54998779296875,489.010009765625,488.2749938964844,488.9599914550781,114642
