Datetime,Open,High,Low,Close,Volume
2022-01-03,188.82000732421875,190.6199951171875,187.4600067138672,190.60000610351562,3781500
2022-01-04,191.0,192.10000610351562,188.1999969482422,190.8000030517578,4137500
2022-01-05,190.41000366210938,191.61000061035156,186.64999389648438,186.82000732421875,5047400
2022-01-06,186.6699981689453,188.52000427246094,185.7899932861328,186.75999450683594,4502600
2022-01-07,181.97000122070312,184.05999755859375,178.89999389648438,179.44000244140625,7414200
2022-01-10,177.89999389648438,183.22999572753906,176.8800048828125,182.9600067138672,7195800
2022-01-11,182.5,186.0800018310547,181.2100067138672,184.63999938964844,5239300
2022-01-12,186.0,187.33999633789062,184.39999389648438,186.02999877929688,4240100
2022-01-13,188.97000122070312,189.6300048828125,183.61000061035156,184.14999389648438,5361100
2022-01-14,183.25999450683594,187.1999969482422,183.0,187.00999450683594,4731400
2022-01-18,183.61000061035156,184.36000061035156,181.25999450683594,182.27999877929688,7382800
2022-01-19,183.44000244140625,183.5800018310547,178.19000244140625,178.3000030517578,5207300
2022-01-20,178.77999877929688,180.55999755859375,173.3800048828125,173.4499969482422,6057800
2022-01-21,174.05999755859375,179.5500030517578,173.3300018310547,175.63999938964844,11527900
2022-01-24,175.77999877929688,178.6199951171875,171.1199951171875,178.33999633789062,11717600
2022-01-25,174.91000366210938,178.00999450683594,173.0399932861328,173.9600067138672,8157600
2022-01-26,182.27000427246094,183.25,176.17999267578125,178.3300018310547,12852700
2022-01-27,180.89999389648438,181.02000427246094,173.10000610351562,174.80999755859375,6752900
2022-01-28,173.80999755859375,177.47000122070312,169.38999938964844,177.2899932861328,7322100
2022-01-31,177.67999267578125,179.63999938964844,175.83999633789062,179.49000549316406,6980800
2022-02-01,179.58999633789062,181.6699981689453,176.6300048828125,181.2899932861328,6233700
2022-02-02,181.5500030517578,188.25,181.49000549316406,187.83999633789062,8993800
2022-02-03,185.24000549316406,186.5500030517578,174.8800048828125,175.58999633789062,11691400
